id,user_id,role_id,first_name,surname,patronymic,phone,email,is_accepted,is_notify
b35a75ec-c144-48e7-9bb1-013f12d4f4bc,7043b122-4962-4109-a281-0b30623c0b1e,2777413e-e79e-4c63-a407-fb28c30746e6,Манакова,Жанна,Викторовна,8 888 888 88 88,1zxc.email@mail.ru,TRUE,FALSE
0c2f6bf3-5462-4c9e-bd2b-f5ec2d88a5d7,24a0cd52-e46d-4e32-acb3-bde238b6a978,2777413e-e79e-4c63-a407-fb28c30746e6,Улицкая,Ирина,Владимировна,8 888 888 88 88,2zxc.email@mail.ru,TRUE,FALSE
33e8ec3e-0747-4d6a-9cb7-6afa14148a66,c1212086-138a-43ad-aef8-6e5050ec37da,2777413e-e79e-4c63-a407-fb28c30746e6,Шеина,Юлия,Михайловна,8 888 888 88 88,3zxc.email@mail.ru,TRUE,FALSE
017b544f-5ae9-47fe-8950-b682fe0bfeff,5c37f5b8-d63c-474e-9275-461d9107b129,2777413e-e79e-4c63-a407-fb28c30746e6,Реймер,Ольга,Викторовна,8 888 888 88 88,4zxc.email@mail.ru,TRUE,FALSE
0e687349-4f26-4f70-af33-2b1b77574a6c,d618e15a-c611-4b85-8f12-b877447fb3bf,2777413e-e79e-4c63-a407-fb28c30746e6,Нужнова,Ирина,Валерьевна,8 888 888 88 88,5zxc.email@mail.ru,TRUE,FALSE
cc77fe62-48e9-488e-8113-970a7f189f80,6b6737d2-6857-45a6-966e-893d868cecb4,2777413e-e79e-4c63-a407-fb28c30746e6,Долгушкина,Людмила,Петровна,8 888 888 88 88,6zxc.email@mail.ru,TRUE,FALSE
3a5636af-ae54-42f1-9767-4a782ec8555b,ab60d244-109e-4f8e-b604-465e2052d129,2777413e-e79e-4c63-a407-fb28c30746e6,Слепова,Светлана,Иосифовна,8 888 888 88 88,7zxc.email@mail.ru,TRUE,FALSE
9a6ee2ff-1dc8-4366-b34a-f2a6a1dbd52a,ca17e002-86e8-4300-96dc-e26dc57ca6cb,2777413e-e79e-4c63-a407-fb28c30746e6,Инкирева,Нина,Николаевна,8 888 888 88 88,8zxc.email@mail.ru,TRUE,FALSE
0aeeb98d-3452-441b-90df-7f6dab9926c2,40cb8be4-aae3-48a8-aaf7-02d68b1749b4,2777413e-e79e-4c63-a407-fb28c30746e6,Казарин,Игорь,Владимирович,8 888 888 88 88,9zxc.email@mail.ru,TRUE,FALSE
da90a728-0893-4dd7-99e9-91b6a4301705,55de3a55-942b-42ae-94d1-50c7bca753f4,2777413e-e79e-4c63-a407-fb28c30746e6,Степанов,Олег,Александрович,8 888 888 88 88,10zxc.email@mail.ru,TRUE,FALSE
e8205147-2c4a-412b-9a4b-7d0ddecc5f7c,500a8ab8-1394-4cfd-9d4f-4836129f3237,2777413e-e79e-4c63-a407-fb28c30746e6,Тишин,Александр,Викторович,8 888 888 88 88,11zxc.email@mail.ru,TRUE,FALSE
418fbb82-8fab-4017-8549-6b6495a58912,d8022a50-ecf4-4b16-86d3-80f5e24a8d77,2777413e-e79e-4c63-a407-fb28c30746e6,Черномырдин,Андрей,Юрьевич,8 888 888 88 88,12zxc.email@mail.ru,TRUE,FALSE
2cebc8e2-585a-4cc1-9bc8-4b43a69f318b,1d60b582-64d0-4ea7-b46d-03c9d46cfe45,2777413e-e79e-4c63-a407-fb28c30746e6,Баймуратов,Сидал,Ахметкалиевич,8 888 888 88 88,13zxc.email@mail.ru,TRUE,FALSE
4c5e4301-da7c-411b-9299-2bbcb43395ca,3cc2ec91-3261-449a-acea-2c6cf6f0a878,2777413e-e79e-4c63-a407-fb28c30746e6,Фартушин,Сергей,Викторович,8 888 888 88 88,14zxc.email@mail.ru,TRUE,FALSE
1ee0d580-9290-4be0-b45b-a0180fafab0c,af579b2e-03e0-4a78-96a9-d75c9f815fd2,2777413e-e79e-4c63-a407-fb28c30746e6,Кирпичёв,Сергей,Владимирович,8 888 888 88 88,15zxc.email@mail.ru,TRUE,FALSE
8afb8fab-e5d6-4400-ab13-56f4b7d48d13,fa54e6b6-51b6-491b-989c-d185f62e4219,2777413e-e79e-4c63-a407-fb28c30746e6,Джураев,Икромали,Тоирович,8 888 888 88 88,16zxc.email@mail.ru,TRUE,FALSE
ac6cedb8-f59d-44c3-8d93-b136054b48e9,e68f7baf-7f24-434d-89d2-84f3d8d13b24,2777413e-e79e-4c63-a407-fb28c30746e6,Широбоков,Сергей,Александрович,8 888 888 88 88,17zxc.email@mail.ru,TRUE,FALSE
6d2a0485-9d84-41c6-abf3-4eb5394ec4d0,427d120a-c80e-478a-9688-6a1278aaa9bb,2777413e-e79e-4c63-a407-fb28c30746e6,Иванов,Артем,Николаевич,8 888 888 88 88,18zxc.email@mail.ru,TRUE,FALSE
46576d72-affe-40fc-9e80-4782fac9fee5,4197bcb2-e0f7-4515-aa3d-919f47ba762c,2777413e-e79e-4c63-a407-fb28c30746e6,Матвеева,Светлана,Геннадьевна,8 888 888 88 88,19zxc.email@mail.ru,TRUE,FALSE
73f11bb9-1a81-4792-94b9-6a3a0bfe691f,8d7813ed-6acd-4686-9e32-be8ecb1965f6,2777413e-e79e-4c63-a407-fb28c30746e6,Абрамов,Дмитрий,Олегович,8 888 888 88 88,20zxc.email@mail.ru,TRUE,FALSE
ae93936d-e69e-4d60-8d2c-7e09327ef8d2,7545ab4b-21b2-4cd4-964b-581cd2d103fb,2777413e-e79e-4c63-a407-fb28c30746e6,Боровлева,Светлана,Вячеславовна,8 888 888 88 88,21zxc.email@mail.ru,TRUE,FALSE
55916077-a181-4a4e-872f-a99cbad713f8,ec566ff5-6d1a-483b-a036-f1edc9206c70,2777413e-e79e-4c63-a407-fb28c30746e6,Журавлев,Дмитрий,Анатольевич,8 888 888 88 88,22zxc.email@mail.ru,TRUE,FALSE
d4244f18-a557-41ef-a1aa-7402c4c50395,e57bb9a4-cfec-47fb-8c1c-6db01a002bf5,2777413e-e79e-4c63-a407-fb28c30746e6,Григорьев,Александр,Владимирович,8 888 888 88 88,23zxc.email@mail.ru,TRUE,FALSE
115ec6af-c415-4489-8140-c5d469558ff6,f5b1df1b-0150-4057-ba0d-57c000825b49,2777413e-e79e-4c63-a407-fb28c30746e6,Музычко,Ольга,Владимировна,8 888 888 88 88,24zxc.email@mail.ru,TRUE,FALSE
97e82259-94de-45d4-ba46-1eb05af27125,ed12f477-a61d-41a9-a3fe-55bfd9253bf0,2777413e-e79e-4c63-a407-fb28c30746e6,Реутова,Светлана,Аркадьевна,8 888 888 88 88,25zxc.email@mail.ru,TRUE,FALSE
cc62bb3a-9a43-4327-9331-a4f37c4833fc,1dc3cc62-b6d9-4215-8e6f-c7df8d4cd077,2777413e-e79e-4c63-a407-fb28c30746e6,Запара,Татьяна,Александровна,8 888 888 88 88,26zxc.email@mail.ru,TRUE,FALSE
1035f3fe-d47a-4495-95fc-2c05e13a5f69,9b1b932c-7fe3-4e24-b28c-e3837d77668e,2777413e-e79e-4c63-a407-fb28c30746e6,Джумалеева,Ирина,Геннадьевна,8 888 888 88 88,27zxc.email@mail.ru,TRUE,FALSE
